sequence,qubit_count,phase_damping_error,noisy_expectation_value,noisy_dd_expectation_value,noisy_execution_secs,noisy_dd_execution_secs,noisy_gate_depth,noisy_dd_gate_depth
XY4,3,0.05,1.577249048,1.647804994,0.007,0.0045,7,23
XY4,3,0.05,1.577249048,1.647804994,0.0058,0.0041,7,23
XY4,3,0.05,1.577249048,1.647804994,0.0064,0.005,7,23
XY4,4,0.05,1.4031594,1.466030698,0.0067,0.0047,8,28
XY4,4,0.05,1.4031594,1.466030698,0.0075,0.0046,8,28
XY4,4,0.05,1.4031594,1.466030698,0.0145,0.0063,8,28
XY4,5,0.05,1.114281472,1.184985412,0.0122,0.0058,9,33
XY4,5,0.05,1.114281472,1.184985412,0.0069,0.0073,9,33
XY4,5,0.05,1.114281472,1.184985412,0.0067,0.0125,9,33
XY4,6,0.05,0.9895763286,1.05266766,0.0118,0.0071,10,38
XY4,6,0.05,0.9895763286,1.05266766,0.0078,0.008,10,38
XY4,6,0.05,0.9895763286,1.05266766,0.0083,0.0089,10,38
XY4,7,0.05,0.765437487,0.8352928361,0.0101,0.0166,11,43
XY4,7,0.05,0.765437487,0.8352928361,0.01,0.0172,11,43
XY4,7,0.05,0.765437487,0.8352928361,0.0109,0.0179,11,43
XY4,8,0.05,0.6767897494,0.7394093905,0.024,0.0239,12,48
XY4,8,0.05,0.6767897494,0.7394093905,0.0247,0.0234,12,48
XY4,8,0.05,0.6767897494,0.7394093905,0.0242,0.0241,12,48
XY4,9,0.05,0.5026609345,0.5711365911,0.0864,0.0914,13,53
XY4,9,0.05,0.5026609345,0.5711365911,0.0898,0.0885,13,53
XY4,9,0.05,0.5026609345,0.5711365911,0.0875,0.0874,13,53
XY4,10,0.05,0.440341625,0.5021143645,0.379,0.3833,14,58
XY4,10,0.05,0.440341625,0.5021143645,0.3786,0.3846,14,58
XY4,10,0.05,0.440341625,0.5021143645,0.3756,0.3765,14,58
XY4,11,0.05,0.3048256022,0.371692645,1.7742,1.7474,15,63
XY4,11,0.05,0.3048256022,0.371692645,1.7414,1.6736,15,63
XY4,11,0.05,0.3048256022,0.371692645,1.7432,1.7247,15,63
XY4,12,0.05,0.2616629858,0.3224235478,8.0258,7.8151,16,68
XY4,12,0.05,0.2616629858,0.3224235478,7.8766,7.9146,16,68
XY4,12,0.05,0.2616629858,0.3224235478,7.9853,7.881,16,68
XY4,13,0.05,0.1559897403,0.2212023833,34.8484,34.8966,17,73
XY4,13,0.05,0.1559897403,0.2212023833,36.829,38.0857,17,73
XY4,13,0.05,0.1559897403,0.2212023833,34.169,34.0259,17,73
XY4,14,0.05,0.12668549,0.1864016555,157.028,156.9782,18,78
XY4,14,0.05,0.12668549,0.1864016555,158.3655,156.1897,18,78
XY4,14,0.05,0.12668549,0.1864016555,170.8594,170.6213,18,78
