sequence,qubit_count,phase_damping_error,noisy_expectation_value,noisy_dd_expectation_value,noisy_execution_secs,noisy_dd_execution_secs,noisy_gate_depth,noisy_dd_gate_depth
XY4,6,0,0.9647244164,0.9647244164,0.0106,0.0074,19,47
XY4,6,0,0.9647244164,0.9647244164,0.0086,0.0083,19,47
XY4,6,0,0.9647244164,0.9647244164,0.0078,0.0119,19,47
XY4,6,0.01,0.9697044013,0.9835770375,0.0078,0.0085,10,38
XY4,6,0.01,0.9697044013,0.9835770375,0.0145,0.0076,10,38
XY4,6,0.01,0.9697044013,0.9835770375,0.0081,0.0081,10,38
XY4,6,0.05,0.9895763286,1.05266766,0.0065,0.0073,10,38
XY4,6,0.05,0.9895763286,1.05266766,0.0065,0.0077,10,38
XY4,6,0.05,0.9895763286,1.05266766,0.0065,0.008,10,38
XY4,6,0.1,1.014310223,1.126453413,0.0132,0.0076,10,38
XY4,6,0.1,1.014310223,1.126453413,0.0124,0.0107,10,38
XY4,6,0.1,1.014310223,1.126453413,0.0078,0.0132,10,38
XY4,6,0.2,1.063440067,1.240718957,0.0151,0.0087,10,38
XY4,6,0.2,1.063440067,1.240718957,0.0077,0.0136,10,38
XY4,6,0.2,1.063440067,1.240718957,0.0113,0.012,10,38
XY4,6,0.3,1.112155391,1.321949067,0.0057,0.0082,10,38
XY4,6,0.3,1.112155391,1.321949067,0.007,0.0074,10,38
XY4,6,0.3,1.112155391,1.321949067,0.0126,0.0176,10,38
XY4,6,0.4,1.160518519,1.379666569,0.033,0.0117,10,38
XY4,6,0.4,1.160518519,1.379666569,0.0102,0.0131,10,38
XY4,6,0.4,1.160518519,1.379666569,0.0157,0.0093,10,38
XY4,6,0.5,1.208626977,1.420107127,0.0182,0.0098,10,38
XY4,6,0.5,1.208626977,1.420107127,0.0153,0.008,10,38
XY4,6,0.5,1.208626977,1.420107127,0.0094,0.0266,10,38
