Step,Energy (Hartree),Bond_length,num_qubits,Final_energy,exec_secs
0,-0.07374,0.58,7,-1.17136214,3.5376
1,-0.278116,,,,
2,-0.380455,,,,
3,-0.494662,,,,
4,-0.641057,,,,
5,-0.78228,,,,
6,-0.901038,,,,
7,-0.99451,,,,
8,-1.053203,,,,
9,-1.070421,,,,
10,-1.074386,,,,
11,-1.090262,,,,
12,-1.109938,,,,
13,-1.12592,,,,
14,-1.140027,,,,
15,-1.14694,,,,
16,-1.14633,,,,
17,-1.145788,,,,
18,-1.144593,,,,
19,-1.139749,,,,
20,-1.135686,,,,
21,-1.137062,,,,
22,-1.14316,,,,
23,-1.151826,,,,
24,-1.159019,,,,
25,-1.160512,,,,
26,-1.158363,,,,
27,-1.157854,,,,
28,-1.15949,,,,
29,-1.161412,,,,
30,-1.163186,,,,
31,-1.164123,,,,
32,-1.164194,,,,
33,-1.164544,,,,
34,-1.165121,,,,
35,-1.165877,,,,
36,-1.167305,,,,
37,-1.168455,,,,
38,-1.168697,,,,
39,-1.168816,,,,
40,-1.16897,,,,
41,-1.169147,,,,
42,-1.169288,,,,
43,-1.168936,,,,
44,-1.168715,,,,
45,-1.169141,,,,
46,-1.169717,,,,
47,-1.170092,,,,
48,-1.170086,,,,
49,-1.170064,,,,
50,-1.170384,,,,
51,-1.170566,,,,
52,-1.170463,,,,
53,-1.170308,,,,
54,-1.170327,,,,
55,-1.170586,,,,
56,-1.170729,,,,
57,-1.170737,,,,
58,-1.170738,,,,
59,-1.170754,,,,
60,-1.170844,,,,
61,-1.170922,,,,
62,-1.171052,,,,
63,-1.171161,,,,
64,-1.171153,,,,
65,-1.171081,,,,
66,-1.171014,,,,
67,-1.171054,,,,
68,-1.171113,,,,
69,-1.171178,,,,
70,-1.171231,,,,
71,-1.171251,,,,
72,-1.171244,,,,
73,-1.171231,,,,
74,-1.171262,,,,
75,-1.171282,,,,
76,-1.171285,,,,
77,-1.171271,,,,
78,-1.171284,,,,
79,-1.171301,,,,
80,-1.171307,,,,
81,-1.171313,,,,
82,-1.171329,,,,
83,-1.171339,,,,
84,-1.171332,,,,
85,-1.171331,,,,
86,-1.171338,,,,
87,-1.171346,,,,
88,-1.171344,,,,
89,-1.171344,,,,
90,-1.171342,,,,
91,-1.171349,,,,
92,-1.171357,,,,
93,-1.171364,,,,
94,-1.171359,,,,
95,-1.171357,,,,
96,-1.171358,,,,
97,-1.171362,,,,
98,-1.171361,,,,
99,-1.171362,,,,
