Step,Energy (Hartree),Bond_length,num_qubits,Final_energy,exec_secs
0,-0.182876,0.66,7,-1.098718825,2.939
1,-0.46043,,,,
2,-0.661817,,,,
3,-0.792189,,,,
4,-0.898363,,,,
5,-0.969984,,,,
6,-0.994265,,,,
7,-1.00021,,,,
8,-1.009283,,,,
9,-1.024135,,,,
10,-1.036524,,,,
11,-1.048994,,,,
12,-1.063067,,,,
13,-1.067693,,,,
14,-1.066066,,,,
15,-1.069348,,,,
16,-1.071592,,,,
17,-1.067625,,,,
18,-1.06417,,,,
19,-1.066235,,,,
20,-1.073071,,,,
21,-1.081329,,,,
22,-1.086988,,,,
23,-1.090022,,,,
24,-1.091589,,,,
25,-1.090952,,,,
26,-1.08989,,,,
27,-1.090621,,,,
28,-1.090949,,,,
29,-1.08926,,,,
30,-1.088365,,,,
31,-1.090124,,,,
32,-1.092935,,,,
33,-1.095189,,,,
34,-1.096449,,,,
35,-1.096748,,,,
36,-1.096193,,,,
37,-1.095056,,,,
38,-1.094426,,,,
39,-1.094767,,,,
40,-1.095081,,,,
41,-1.095498,,,,
42,-1.096707,,,,
43,-1.097715,,,,
44,-1.097915,,,,
45,-1.097879,,,,
46,-1.097695,,,,
47,-1.097396,,,,
48,-1.097247,,,,
49,-1.097336,,,,
50,-1.097577,,,,
51,-1.097801,,,,
52,-1.098168,,,,
53,-1.098553,,,,
54,-1.098534,,,,
55,-1.098344,,,,
56,-1.098197,,,,
57,-1.098092,,,,
58,-1.098169,,,,
59,-1.098336,,,,
60,-1.098451,,,,
61,-1.098482,,,,
62,-1.098525,,,,
63,-1.09858,,,,
64,-1.098543,,,,
65,-1.098505,,,,
66,-1.098473,,,,
67,-1.09847,,,,
68,-1.098547,,,,
69,-1.098626,,,,
70,-1.098665,,,,
71,-1.098663,,,,
72,-1.098652,,,,
73,-1.098623,,,,
74,-1.098611,,,,
75,-1.098627,,,,
76,-1.098647,,,,
77,-1.098679,,,,
78,-1.098697,,,,
79,-1.098701,,,,
80,-1.098696,,,,
81,-1.098694,,,,
82,-1.098683,,,,
83,-1.09868,,,,
84,-1.098689,,,,
85,-1.098704,,,,
86,-1.098719,,,,
87,-1.09872,,,,
88,-1.098712,,,,
89,-1.098706,,,,
90,-1.098706,,,,
91,-1.098707,,,,
92,-1.098712,,,,
93,-1.098716,,,,
94,-1.098721,,,,
95,-1.098723,,,,
96,-1.098721,,,,
97,-1.098718,,,,
98,-1.098718,,,,
99,-1.098719,,,,
