Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,-0.043898,0.54,7,-1.127216712,0.05,27.6506
1,-0.283296,,,,,
2,-0.495095,,,,,
3,-0.68215,,,,,
4,-0.747809,,,,,
5,-0.807218,,,,,
6,-0.928345,,,,,
7,-1.028247,,,,,
8,-1.050894,,,,,
9,-1.036524,,,,,
10,-1.042589,,,,,
11,-1.070777,,,,,
12,-1.093433,,,,,
13,-1.101799,,,,,
14,-1.105361,,,,,
15,-1.109443,,,,,
16,-1.110797,,,,,
17,-1.110267,,,,,
18,-1.112256,,,,,
19,-1.114914,,,,,
20,-1.11475,,,,,
21,-1.113774,,,,,
22,-1.117225,,,,,
23,-1.123623,,,,,
24,-1.127217,,,,,
