Step,Energy (Hartree),Bond_length,num_qubits,final_energy,phase_damping_noise,execution_secs
0,0.048087,0.62,7,-1.092163073,0.05,19.9995
1,-0.000265,,,,,
2,-0.066825,,,,,
3,-0.178746,,,,,
4,-0.306612,,,,,
5,-0.491155,,,,,
6,-0.679737,,,,,
7,-0.805177,,,,,
8,-0.900903,,,,,
9,-1.008527,,,,,
10,-1.063102,,,,,
11,-1.062529,,,,,
12,-1.024131,,,,,
13,-0.988367,,,,,
14,-0.986148,,,,,
15,-1.004585,,,,,
16,-1.030439,,,,,
17,-1.062856,,,,,
18,-1.090505,,,,,
19,-1.102949,,,,,
20,-1.10353,,,,,
21,-1.098482,,,,,
22,-1.091912,,,,,
23,-1.089258,,,,,
24,-1.092163,,,,,
