Bond Length (Å) ; JSD w/o DD ; JSD with DD 
0,5;0,000291;0,000139
0,54;0,00091;0,001573
0,58;0,000594;0,001104
0,62;0,000124;0,000594
0,66;0,000655;0,001017
0,7;0,000282;0,000674
0,74;0,000981;0,000376
0,742;0,000777;0,000918
0,78;0,001395;0,001538
0,82;0,000752;0,000504
0,86;0,000966;0,000266
0,9;0,000991;0,000202
0,94;0,000112;0,000234
0,98;0,00015;0,000701
1,02;0,00116;0,00066
1,06;0,001234;0,000188
1,1;0,000043;0,000142
1,14;0,000985;0,00025
1,18;0,000149;0,000161
1,22;0,000675;0,000276
1,26;0,000452;0,000134
1,3;0,000684;0,000295
1,34;0,000736;0,001086
1,38;0,000651;0,000206
1,42;0,000652;0,000036
1,46;0,001188;0,000132
1,5;0,001313;0,000896
1,54;0,000301;0,000117
1,58;0,000306;0,000397
1,62;0,001333;0,000153
1,66;0,000306;0,000113
1,7;0,000635;0,00029
1,74;0,000763;0,000418
1,78;0,000589;0,000514
1,82;0,000292;0,000006
1,86;0,000511;0,000475
1,9;0,000063;0,000242
1,94;0,000392;0,001386
1,98;0,000159;0,001145
2,02;0,000268;0,000102
2,06;0,000339;0,000874
2,1;0,000051;0,000196
